운행일자,정산사업자,노선아이디,노선명,노선번호,교통수단구분,교통수단 상세구분명,기점 정류장 아이디,종점 정류장 아이디,기점 정류장 명,종점 정류장 명,노선길이,경유정류장수
2025-06-13,마이비,43017021,남당초교앞-금용APT,03월 21일,버스,985제천시내,4356240,4393920,남당초교앞,금용APT,4732,17
2025-06-13,마이비,43017022,남당초교앞-제천역,04월 21일,버스,985제천시내,4356240,4330430,남당초교앞,제천역,10111,33
2025-06-13,마이비,43017023,남당초교앞-비둘기APT,08월 21일,버스,985제천시내,4356240,4397570,남당초교앞,비둘기APT,3623,14
2025-06-13,마이비,43017024,제천역-제천역,31,버스,985제천시내,4330430,4330430,제천역,제천역,18398,51
2025-06-13,마이비,43017025,제천역-대원대학교,01월 31일,버스,985제천시내,4330430,4394790,제천역,대원대학교,9185,27
2025-06-13,마이비,43017026,대원대학교-제천역,Feb-31,버스,985제천시내,4394780,4330430,대원대학교,제천역,9159,24
2025-06-13,마이비,43017027,제천역-제천역,Jan-35,버스,985제천시내,4330430,4330430,제천역,제천역,16481,48
2025-06-13,마이비,43017028,제천역-제천역,Feb-35,버스,985제천시내,4330430,4330430,제천역,제천역,16481,48
2025-06-13,마이비,43017029,세명대동문한방병-신백덕일한마음A,37,버스,985제천시내,4398950,4303230,세명대동문한방병원,신백덕일한마음APT,8249,24
2025-06-13,마이비,43017030,무곡-제천역,38,버스,985제천시내,4396460,4330430,무곡,제천역,5372,13
2025-06-13,마이비,43017031,장락로즈웰앞-장락로즈웰,46,버스,985제천시내,4314340,4314310,장락로즈웰앞,장락로즈웰,12282,39
2025-06-13,마이비,43017032,장락로즈웰앞-극동APT,Jan-46,버스,985제천시내,4314340,4324680,장락로즈웰앞,극동APT,5496,18
2025-06-13,마이비,43017033,극동APT-장락로즈웰,Feb-46,버스,985제천시내,4324680,4314310,극동APT,장락로즈웰,6786,22
2025-06-13,마이비,43017034,e편한세상-e편한세상,47,버스,985제천시내,4392090,4392090,e편한세상,e편한세상,20647,65
2025-06-13,마이비,43017035,제천시청-e편한세상,Feb-47,버스,985제천시내,4316180,4392090,제천시청,e편한세상,10367,33
2025-06-13,마이비,43017036,e편한세상-e편한세상,48,버스,985제천시내,4392090,4392090,e편한세상,e편한세상,29863,82
2025-06-13,마이비,43017037,e편한세상-일진제2공장,Jan-48,버스,985제천시내,4392090,4313960,e편한세상,일진제2공장,15062,40
2025-06-13,마이비,43017038,강저휴먼시아3단-강저휴먼시아3단,51,버스,985제천시내,4392450,4392450,강저휴먼시아3단지앞,강저휴먼시아3단지앞,23444,71
2025-06-13,마이비,43017039,강저휴먼시아3단-대원대학교,Jan-51,버스,985제천시내,4392450,4394790,강저휴먼시아3단지앞,대원대학교,11976,38
2025-06-13,마이비,43017040,대원대학교-강저휴먼시아3단,Feb-51,버스,985제천시내,4394780,4392450,대원대학교,강저휴먼시아3단지앞,11406,34
2025-06-13,마이비,43017041,강저휴먼시아3단-대원대학교,Jan-53,버스,985제천시내,4392450,4394790,강저휴먼시아3단지앞,대원대학교,13134,42
